"Subwijken";"% huishoudens zonder auto";"% huishoudens met één auto";"% huishoudens met meer dan één auto";"totaal aantal inwoners";"totaal aantal banen";"inwoners per km2"
"Oog in Al, Welgelegen";26;60;15;9132;3279;6790
"Lombok, Leidseweg";42;51;7;12744;3486;14040
"Nieuw Engeland, Schepenbrt";43;45;12;7398;22740;1104
"Pijlsweerd";40;54;5;6852;2415;13112
"Ondiep, 2e Daalsebrt";38;50;12;14056;3114;10736
"Zuilen-west";33;51;16;10790;2670;10782
"Zuilen-noord en -oost";27;60;13;13572;2077;7989
"Taagdreef, Wolgadreef";38;50;12;8952;2543;8687
"Zamenhofdreef, Neckardreef";40;48;12;7152;3344;5945
"Vechtzoom, Klopvaart";38;46;16;8693;6234;2791
"Zambesidreef, Tigrisdreef";39;40;21;9502;1595;3031
"Votulast";40;53;7;13623;4466;12337
"Tuindorp, Voordorp";23;58;18;14865;3025;4736
"Wittevrouwen, Zeeheldenbrt";39;52;10;11205;3566;13507
"Oudwijk, Buiten Wittevrouwen";43;49;8;9714;5983;11338
"Abstede, Gansstraat";36;55;9;9464;5552;2640
"Wilhelminapark, Rijnsweerd";47;40;14;12950;45503;1962
"Binnenstad city- en winkelgeb";61;36;2;6232;46943;4239
"Binnenstad woongebied";62;35;3;13180;15901;10658
"Lunetten";39;50;12;11471;3557;4149
"Oud Hoograven, Tolsteeg";38;48;14;9767;3126;11186
"Nieuw Hoograven, Bokkenbrt";41;42;17;6673;919;6104
"Dichterswijk, Rivierenwijk";30;57;12;14564;4008;12028
"Transwijk";49;44;7;7360;20455;2522
"Kanaleneiland";45;42;13;16704;5102;11739
"Terwijde, De Wetering";14;56;30;10808;8637;4019
"Het Zand";16;50;34;10431;1432;6627
"Leidsche Rijn Centrum e.o";25;51;24;7811;6345;4403
"Parkwijk, Langerak";13;59;28;11650;2570;6729
"Leidsche Rijn-zuid";".";".";".";609;14698;173
"Vleuten, Haarzuilens";11;51;38;9165;3170;632
"Veldhuizen, Vleuterweide";10;47;43;27949;4439;6115
"De Meern";8;54;38;12432;9704;1778
"Rijnenburg";".";".";".";249;114;23
